
,,,,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Total Yds,Total Yds,Total Yds,Total Yds,Total Yds
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Touch,TotOff,YScm,APYd,RtY
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Touch,TotOff,YScm,APYd,RtY
4781,DeVier Posey,23-243,2012-10-08,NFL,HOU,@,NYJ,W 23-17,5,5,Mon,1,-3,-3.00,0,0,0,0,,0,,,,,,,,,0,1,-3,-3,-3,0
4782,DeVier Posey,23-326,2012-12-30,NFL,HOU,@,IND,L 16-28,16,17,Sun,0,0,,0,2,1,16,16.00,0,,,,,,,,,0,1,0,16,16,0
4783,DeVier Posey,23-319,2012-12-23,NFL,HOU,,MIN,L 6-23,15,16,Sun,0,0,,0,6,1,6,6.00,0,,,,,,,,,0,1,0,6,6,0
4784,DeVier Posey,23-306,2012-12-10,NFL,HOU,@,NWE,L 14-42,13,14,Mon,0,0,,0,2,1,19,19.00,0,,,,,,,,,0,1,0,19,19,0
4785,Zach Potter,26-233,2012-12-23,NFL,JAX,,NWE,L 16-23,15,16,Sun,0,0,,0,0,0,0,,0,,,,,,,,,0,1,0,0,11,11
4786,Zach Potter,26-219,2012-12-09,NFL,JAX,,NYJ,L 10-17,13,14,Sun,0,0,,0,2,1,2,2.00,0,,,,,,,,,0,1,0,2,2,0
4787,Zach Potter,26-135,2012-09-16,NFL,JAX,,HOU,L 7-27,2,2,Sun,0,0,,0,2,1,4,4.00,0,,,,,,,,,0,1,0,4,4,0
4788,Chris Pressley,26-088,2012-11-04,NFL,CIN,,DEN,L 23-31,8,9,Sun,0,0,,0,0,0,0,,0,,,,,,,,,0,1,0,0,8,8
4789,Chris Pressley,26-074,2012-10-21,NFL,CIN,,PIT,L 17-24,7,7,Sun,0,0,,0,0,0,0,,0,,,,,,,,,0,1,0,0,7,7
