
,,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Total Yds,Total Yds,Total Yds,Total Yds,Total Yds
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Touch,TotOff,YScm,APYd,RtY
58,DeMarco Murray,26-284,2014-11-23,NFL,DAL,@,NYG,W 31-28,11,12,Sun,0,0,,0,0,0,,,,24,121,5.04,0,3,2,22,11.00,0,,,,,,,,,0,26,121,143,143,0
59,DeMarco Murray,26-288,2014-11-27,NFL,DAL,,PHI,L 10-33,12,13,Thu,0,0,,0,0,0,,,,20,73,3.65,1,6,6,40,6.67,0,,,,,,,,,6,26,73,113,113,0
60,Latavius Murray,23-303,2014-12-21,NFL,OAK,,BUF,W 26-24,15,16,Sun,0,0,,0,0,0,,,,23,86,3.74,0,4,3,22,7.33,0,,,,,,,,,0,26,86,108,108,0
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Touch,TotOff,YScm,APYd,RtY
61,Jonathan Stewart,27-275,2014-12-21,NFL,CAR,,CLE,W 17-13,15,16,Sun,0,0,,0,0,0,,,,24,122,5.08,0,4,2,7,3.50,1,,,,,,,,,6,26,122,129,129,0
62,Terrance West,23-282,2014-11-06,NFL,CLE,@,CIN,W 24-3,9,10,Thu,0,0,,0,0,0,,,,26,94,3.62,1,0,0,0,,0,,,,,,,,,6,26,94,94,94,0
63,Andre Williams,22-115,2014-12-21,NFL,NYG,@,STL,W 37-27,15,16,Sun,0,0,,0,0,0,,,,26,110,4.23,0,1,0,0,,0,,,,,,,,,0,26,110,110,110,0
64,Montee Ball,23-276,2014-09-07,NFL,DEN,,IND,W 31-24,1,1,Sun,0,0,,0,0,0,,,,23,67,2.91,1,2,2,16,8.00,0,,,,,,,,,6,25,67,83,83,0
65,Joique Bell,28-115,2014-11-27,NFL,DET,,CHI,W 34-17,12,13,Thu,0,0,,0,0,0,,,,23,91,3.96,2,2,2,16,8.00,0,,,,,,,,,12,25,91,107,107,0
66,Le'Veon Bell,22-222,2014-09-28,NFL,PIT,,TAM,L 24-27,4,4,Sun,0,0,,0,0,0,,,,19,63,3.32,0,7,6,46,7.67,0,,,,,,,,,0,25,63,109,109,0
67,Le'Veon Bell,22-299,2014-12-14,NFL,PIT,@,ATL,W 27-20,14,15,Sun,0,0,,0,0,0,,,,20,47,2.35,2,7,5,72,14.40,0,,,,,,,,,12,25,47,119,119,0
